Service,Category,Cost (RM),Selfpay (RM),Panel1 (RM),Panel2 (RM),Panel3 (RM),Panel4 (RM),Panel5 (RM)
** FASTING LIPID PROFILE - FSL (PANTAI - LP01),investigation,0.00,40.00,45.00,15.00,0.00,20.00,
FASTING LIPID PROFILE - FSL + URIC ACID (PANTAI LAB - LP01 + UA),investigation,0.00,50.00,55.00,25.00,0.00,9999.00,
FERRITIN (PANTAI LAB - FER),investigation,0.00,70.00,75.00,36.00,0.00,,
FINGER BUDDY STRAPS (ONE STRAP),service,0.00,10.00,15.00,3.00,0.00,9999.00,
** FISH BONE REMOVAL,procedure,0.00,20.00,20.00,20.00,0.00,50.00,
FLUORESCEIN EYE TEST,investigation,0.00,10.00,15.00,1.00,0.00,0.00,
FOLLICLE STIMULATING HORMONE (PANTAI LAB - ZFSH),investigation,0.00,40.00,45.00,20.00,0.00,9999.00,
FREESTYLE LIBRE (SENSOR+READER),procedure,0.00,650.00,0.00,600.00,0.00,9999.00,
FROZEN SHOULDER INJECTION - 1 SIDE  (SHINCORT),procedure,0.00,250.00,255.00,100.00,0.00,9999.00,
** FULL BLOOD COUNT (FBC) IN-CLINIC,investigation,0.00,30.00,35.00,5.00,0.00,40.00,
** FULL BLOOD COUNT (FBC) - PANTAI LAB,investigation,0.00,35.00,40.00,17.00,0.00,40.00,
FULL BLOOD PICTURE ( PANTAI LAB - FBP),investigation,0.00,65.00,72.00,32.00,0.00,,
FUNGUS CULTURE PANTAI LAB,investigation,0.00,70.00,75.00,35.00,9999.00,,
GANGLION CYST ASPIRATION + INJECTION (SHINCORT),procedure,0.00,150.00,150.00,50.00,0.00,9999.00,
GANGLION CYST EXCISIONAL REMOVAL,procedure,0.00,300.00,300.00,150.00,0.00,,
GIRL CIRCUMSICION (+Consult),procedure,0.00,50.00,55.00,15.00,0.00,9999.00,
GLUCOMETER URIGHT,service,0.00,60.00,65.00,30.00,25.00,,
GLUCOSE TOLERANCE TEST (PANTAI LAB),investigation,0.00,60.00,60.00,60.00,0.00,9999.00,
HbA1C (IN-CLINIC),investigation,0.00,35.00,42.00,23.00,0.00,9999.00,
** HbA1C (PANTAI LAB),investigation,0.00,49.00,56.00,25.00,0.00,20.00,
HB ELECTROPHORESIS (HB ANALYSIS)- (PANTAI LAB - HBCE),investigation,0.00,135.00,140.00,135.00,0.00,9999.00,
HEAD INJURY ADVICE,service,0.00,5.00,5.00,3.00,0.00,0.00,
HEPATITIS A ANTIBODY (PANTAI LAB - HAV),investigation,0.00,70.00,75.00,33.00,0.00,9999.00,
HEPATITIS A ANTIBODY RAPID TEST IN-CLINIC,investigation,0.00,75.00,80.00,9.00,0.00,9999.00,
HEPATITIS B ANTIGEN (PANTAI LAB - HBSAG),investigation,0.00,20.00,25.00,10.00,0.00,,
HEPATITIS B ANTIGEN VIRUS INFECTION (EARLY DITECTION) (PANTAI LAB - HBEAB),investigation,0.00,60.00,65.00,29.00,0.00,,
HEPATITIS B DNA PCR (QUANTITATIVE) (PANTAI LAB - HBVPCR),investigation,0.00,240.00,245.00,188.00,0.00,,
** HEPATITIS B (HBsAg) RAPID TEST IN-CLINIC,investigation,0.00,40.00,45.00,3.00,0.00,10.00,
HEPATITIS B SCREENING (PANTAI LAB - HE03),investigation,0.00,25.00,30.00,14.00,0.00,,
HEPATITIS C ANTIBODY - HCV RAPID TEST IN-CLINIC,investigation,0.00,30.00,37.00,5.00,0.00,9999.00,
HEPATITIS C ANTIBODY (HCV) RAPID TEST IN-CLINIC,investigation,0.00,45.00,50.00,4.00,0.00,9999.00,
HEPATITIS C ANTIBODY (PANTAI LAB - ZHCV),investigation,0.00,50.00,55.00,25.00,0.00,,
HEPATITIS C RNA PCR (PANTAI LAB),investigation,0.00,500.00,505.00,250.00,0.00,9999.00,
HEPATITIS PROFILE STUDIES (PANTAI LAB - 19BB),investigation,0.00,120.00,125.00,65.00,0.00,,
** HIGH VAGINAL SWAB (PANTAI LAB - GCS),investigation,0.00,80.00,85.00,40.00,0.00,55.00,
HIV 1 & 2 (PANTAI LAB - HIV12),investigation,0.00,35.00,40.00,17.00,0.00,,
HIV ANTIBODY RAPID TEST IN-CLINIC,investigation,0.00,45.00,50.00,6.00,0.00,9999.00,
HOUSECALL (MO),consultation,0.00,200.00,200.00,100.00,0.00,9999.00,
HOUSECALL (STAFF),consultation,0.00,100.00,100.00,50.00,0.00,9999.00,
HPV DNA GENOTYPING (PANTAI LAB - HPV B),investigation,0.00,170.00,180.00,110.00,0.00,9999.00,
** H. PYLORI ANTIBODY IN-CLINIC,investigation,0.00,40.00,45.00,7.00,0.00,75.00,
** H. PYLORI ANTIBODY (PANTAI LAB - ZHP),investigation,0.00,30.00,35.00,15.00,0.00,75.00,
HSP 3.0,investigation,0.00,60.00,60.00,60.00,0.00,9999.00,
HSV 1&2 AB COMBO RAPID TEST (IN-CLINIC),investigation,0.00,50.00,55.00,15.00,0.00,9999.00,
IA. ANKLE (SHINCORT) -1 SIDE,procedure,0.00,250.00,250.00,50.00,20.00,9999.00,
IA. HYALARUNIC ACID KNEE (SINGLE/1 SIDE),procedure,0.00,1000.00,1005.00,1000.00,0.00,9999.00,
IA. KNEE - 1 SIDE (SHINCORT),procedure,0.00,250.00,255.00,250.00,0.00,9999.00,
IA. PLATELET RICH PLASMA - PRP KNEE (SINGLE/1 SIDE),procedure,0.00,500.00,505.00,250.00,0.00,300.00,
ICE  (COLD/WARMTH GEL) PACKS (LARGE),service,0.00,25.00,30.00,10.00,7.20,,
ICE  (COLD/WARMTH GEL) PACKS (MEDIUM),service,0.00,20.00,25.00,7.00,5.90,,
ICE (COLD/WARMTH GEL) PACKS (SMALL),service,0.00,15.00,20.00,6.00,4.80,,
IM INJ OWN DRUGS,procedure,0.00,15.00,15.00,8.00,0.00,9999.00,
IMPLANON INSERTION,procedure,0.00,650.00,655.00,450.00,0.00,9999.00,
IMPLANON REMOVAL,procedure,0.00,200.00,205.00,50.00,0.00,9999.00,
** INCISION & DRAINAGE (>5CM/BIG),procedure,0.00,180.00,185.00,150.00,0.00,150.00,
